truck_id,home_zone,truck_capacity_kg,fuel_efficiency_km_per_liter,depot_latitude,depot_longitude,available_from,available_until,active
T01,Z1,5066,6.997433872105683,10.016400483616938,76.32751761955998,06:00,18:00,1
T02,Z2,6468,7.651266297990581,10.013711890530397,76.33074584256804,06:00,18:00,1
T03,Z3,5538,5.5563697911283745,10.013732284246117,76.33458902452944,06:00,18:00,1
T04,Z4,3644,7.001977321390832,10.01289864503642,76.33335548899456,06:00,18:00,1
T05,Z5,4067,6.10287126181195,10.014345501623255,76.32627396496842,06:00,18:00,1
T06,Z1,5469,6.976534077756238,10.007431262751727,76.32793766650767,06:00,18:00,1
T07,Z2,3629,6.417956168522709,10.01129603484157,76.32811039521928,06:00,18:00,1
T08,Z3,3653,6.510668200805018,10.00986454718439,76.33252366502421,06:00,18:00,1
T09,Z4,5472,6.544552044637392,10.006568261305896,76.32821731011009,06:00,18:00,1
T10,Z5,5905,5.525786180420309,10.007608801315744,76.32476582701926,06:00,18:00,1
